"Metabolite name"	"m/z similarity"	"l2fc"	"p"
"Piperacetazine"	"0.99"	-0.195990690516071	0.781094511809523
"Pirimicarb"	"0.99"	0.590790516508288	0.106830970034796
"Praziquantel"	"0.82"	-0.449570015818457	0.384349888981349
"Prednisolone"	"0.77"	0.823809936469794	0.174939258141579
"Prednisolone_Tebutate"	"1"	3.52291209333572	0.0628470779498648
"Prednisone"	"0.8"	-0.886689655052008	0.0847095939341197
"Propachlor ESA"	"0.76"	-0.454682291597923	0.0932311726202623
"Puerarin"	"0.99"	1.52131622551857	0.186752388155127
"Pymetrozine"	"1"	-0.201937425643923	0.719253127368275
"Pyrimethamine"	"0.7"	-0.610721970974843	0.220283986992678
"Pyrroxanthin 5,8-furanoxide"	"0.7"	3.40538691996078	0.00238351550336734
"Quercetin"	"0.72"	0.210315152063036	0.841291890541848
"Quercetin-3-(6''-malonyl)-Glucoside"	"0.83"	1.03508996728829	0.153460361678576
"Rhamnose"	"0.98"	-0.106312260422309	0.502943505165056
"Ricinoleic acid"	"0.99"	0.270761518815694	0.149410269405572
"Robinin"	"1"	-0.232977655213566	0.445240204484517
"Rotenone"	"1"	1.61223566676673	0.0915093794701711
"S-Adenosyl-L-homocysteine"	"0.98"	0.430904813827879	0.206734735499441
"Santonin"	"0.95"	-0.0776620172894924	0.183445478746871
"Simazine-2-hydroxy"	"1"	0.0247194102562534	0.975560774855242
"Sorbitol"	"0.89"	0.0354490768540453	0.77028761130007
"Spectinomycin"	"0.94"	-0.365450153280209	0.329703443860673
"Streptomycin"	"0.87"	1.45577711763763	0.204513238491754
"Strychnine"	"0.89"	0.0189047006393854	0.938648974098353
"Succinic acid"	"0.97"	-0.530008861239941	0.375652816962721
"Sucrose"	"1.00"	0.0745989108798745	0.82269264974966
"Sulfadiazine"	"0.78"	1.02824460690733	0.182047543731266
"Sulfamethazine"	"0.98"	-0.077561527266412	0.834163406091252
"Sulfanilic acid"	"0.83"	-0.42798549849507	0.103410083505402
"Sulfasalazine"	"1"	-1.47903251428413	0.408455934611601
"Syringaldehyde"	"0.85"	1.01511815790711	0.0374272203485101
"Temazepam"	"0.99"	-1.55259023333937	0.0427835174053789
"Terfenadine"	"0.9"	2.083651623816	0.209439298025183
"Testosterone_Propionate"	"0.95"	-0.107300712110034	0.787864022001564
"Thiacloprid"	"0.97"	0.811841523768939	0.163264316330817
"Thiamine"	"0.96"	0.250338753213524	0.475836082582184
"Trimethoprim"	"0.62"	-0.000272302293018691	0.998579758544017
"Trimipramine"	"0.88"	-0.167948162409404	0.147295323490624
"Tritosulfuron"	"0.83"	3.05260641760981	0.141701923943936
"TxB2"	"0.99"	-0.138112610432848	0.667438671950745
"Uracil"	"0.97"	0.487286795249794	0.60745714384296
"Velutin"	"0.89"	-2.46919030903327	0.229500297992494
"Venlafaxine"	"0.99"	-0.147643443828871	0.870236194029419
"Verapamil"	"0.97"	0.619321419243329	0.178842333000647
"Vitamin K1"	"0.99"	1.5610471322007	0.0903676433436553
"Xanthohumol"	"0.99"	0.239705114398372	0.662181161038076
"Xanthotoxin"	"0.68"	-0.690942417572718	0.311704935619233
"all-trans-Retinoic acid"	"0.97"	0.943705463828471	0.209120289150598
"alpha-Methyl-DL-histidine"	"0.99"	-0.870366844528398	0.109123372678242
"beta-Carotene-5,6-epoxide"	"1"	-0.574737926097983	0.471912836100744
"cis-Nerolidol"	"0.84"	-0.158383379559622	0.29528990371752
"delta-Decalactone"	"0.9"	-1.02523117970809	0.00728179393342132
"gamma-Tocotrienol"	"0.81"	-0.0937342477741263	0.788911513557117
"o-Phenanthroline"	"0.99"	0.695385775374169	0.132974577572923
"sn-Glycerol 3-phosphate"	"0.92"	0.712903377220606	0.144717440033847
