Gene_stable_ID	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj	Description
YNL234W	YNL234W	254.597199131405	0.408489990492269	0.254833471181631	0.00359766428827283	0.0499770494700431	Protein of unknown function with similarity to globins; has a functional heme-binding domain; mutant has aneuploidy tolerance; transcription induced by stress conditions; may be involved in glucose signaling or metabolism; regulated by Rgt1
YNL248C	RPA49	530.346292452927	0.832377195907669	0.46967488067842	0.000318466855142289	0.00998146651330992	RNA polymerase I subunit A49; essential for nucleolar assembly and for high polymerase loading rate; required for nucleolar localization of Rpa34p
YNL284C-B	YNL284C-B	1874.27093620229	-1.07855082735853	0.143491217744833	5.31219241413253e-15	1.03782532464103e-11	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes
YNL293W	MSB3	971.177485941691	-0.374064588765035	0.149525106122331	0.000535605165952489	0.0139519194562113	Rab GTPase-activating protein; regulates endocytosis via inactivation of Vps21p at endosomes and vacuole fusion via inactivation of Ypt7p at vacuoles; also acts on Ypt52p and Sec4p; localizes to plasma membrane, sites of polarized growth; relocalizes from bud neck to cytoplasm upon DNA replication stress; similar to TBC-domain Tre2 oncogene; MSB3 has a paralog, MSB4, that arose from the whole genome duplication; human homolog USP6NL can complement yeast msb3 msb4 double null
YNL294C	RIM21	1045.83237273019	-0.485781476443397	0.196209759738884	0.000188885659665812	0.00702910480943289	pH sensor molecule, component of the RIM101 pathway; has a role in cell wall construction and alkaline pH response; is glycosylated and phosphorylated; interacts with Dfg16p and Rim9p to form a pH-sensing complex; localization to the plasma membrane is dependent on Dfg16p and Rim9p; has similarity to A. nidulans PalH
YNL299W	TRF5	309.688694905883	1.08985111468382	0.322410301922109	5.48096168270291e-06	0.000629880714163171	Non-canonical poly(A) polymerase; involved in nuclear RNA degradation as a component of the TRAMP complex; catalyzes polyadenylation of hypomodified tRNAs, and snoRNA and rRNA precursors; overlapping but non-redundant functions with Pap2p
YNL301C	RPL18B	803.096962081534	0.535641146971594	0.3034824016127	0.00116081945694489	0.0237886812487902	Ribosomal 60S subunit protein L18B; homologous to mammalian ribosomal protein L18, no bacterial homolog; RPL18B has a paralog, RPL18A, that arose from the whole genome duplication
YNL308C	KRI1	4215.20737498711	0.785839221617476	0.375214942014085	0.000228896471037788	0.00798548938543139	Essential nucleolar protein required for 40S ribosome biogenesis; associate with snR30; physically and functionally interacts with Krr1p
YNL313C	EMW1	546.443526954438	0.470376001319654	0.306239994810027	0.00276648828179509	0.0427805158011591	Essential conserved protein with a role in cell wall integrity; contains six TPR (tetratricopeptide repeat) domains clustered in the C-terminal region; conditional mutant is suppressed by overexpression of GFA1; protein abundance increases in response to DNA replication stress
YNL327W	EGT2	1238.85151003076	-1.25143126015327	0.222618228976577	5.68420815211174e-10	3.70168266439188e-07	Glycosylphosphatidylinositol (GPI)-anchored cell wall endoglucanase; required for proper cell separation after cytokinesis; expression is activated by Swi5p and tightly regulated in a cell cycle-dependent manner
